"i","Date","Not Solved","Solved"
"998",2005-09-24,266,152
"999",2005-09-25,253,115
"1000",2005-09-26,241,153
"1001",2005-09-27,254,145
"1002",2005-09-28,286,137
"1003",2005-09-29,241,156
"1004",2005-09-30,247,148
"1005",2005-10-01,356,140
"1006",2005-10-02,297,132
"1007",2005-10-03,256,145
"1008",2005-10-04,261,178
"1009",2005-10-05,227,202
"1010",2005-10-06,245,189
"1011",2005-10-07,266,163
"1012",2005-10-08,282,161
"1013",2005-10-09,265,158
"1014",2005-10-10,245,110
"1015",2005-10-11,225,137
"1016",2005-10-12,262,174
"1017",2005-10-13,225,152
"1018",2005-10-14,273,178
"1019",2005-10-15,285,128
"1020",2005-10-16,258,108
"1021",2005-10-17,260,140
"1022",2005-10-18,219,209
"1023",2005-10-19,231,165
"1024",2005-10-20,250,170
"1025",2005-10-21,223,195
"1026",2005-10-22,266,186
"1027",2005-10-23,234,117
"1028",2005-10-24,243,122
"1029",2005-10-25,244,186
"1030",2005-10-26,236,152
"1031",2005-10-27,243,160
"1032",2005-10-28,241,157
"1033",2005-10-29,296,123
"1034",2005-10-30,243,131
"1035",2005-10-31,244,104
"1036",2005-11-01,406,151
"1037",2005-11-02,243,139
"1038",2005-11-03,260,201
"1039",2005-11-04,234,206
"1040",2005-11-05,278,144
"1041",2005-11-06,253,117
"1042",2005-11-07,222,113
"1043",2005-11-08,215,97
"1044",2005-11-09,242,149
"1045",2005-11-10,236,183
"1046",2005-11-11,237,163
"1047",2005-11-12,267,151
"1048",2005-11-13,250,127
"1049",2005-11-14,245,142
"1050",2005-11-15,258,135
"1051",2005-11-16,298,132
"1052",2005-11-17,260,142
"1053",2005-11-18,238,165
"1054",2005-11-19,251,149
"1055",2005-11-20,223,128
"1056",2005-11-21,247,146
"1057",2005-11-22,234,154
"1058",2005-11-23,219,154
"1059",2005-11-24,253,120
"1060",2005-11-25,188,128
"1061",2005-11-26,230,127
"1062",2005-11-27,220,174
"1063",2005-11-28,203,93
"1064",2005-11-29,220,102
"1065",2005-11-30,234,154
"1066",2005-12-01,292,194
"1067",2005-12-02,221,138
"1068",2005-12-03,201,156
"1069",2005-12-04,210,99
"1070",2005-12-05,224,114
"1071",2005-12-06,179,149
"1072",2005-12-07,204,133
"1073",2005-12-08,214,133
"1074",2005-12-09,218,154
"1075",2005-12-10,250,130
"1076",2005-12-11,231,167
"1077",2005-12-12,173,111
"1078",2005-12-13,213,146
"1079",2005-12-14,210,130
"1080",2005-12-15,225,150
"1081",2005-12-16,250,146
"1082",2005-12-17,280,155
"1083",2005-12-18,203,81
"1084",2005-12-19,206,112
"1085",2005-12-20,214,106
"1086",2005-12-21,218,127
"1087",2005-12-22,255,125
"1088",2005-12-23,222,119
"1089",2005-12-24,301,119
"1090",2005-12-25,222,71
"1091",2005-12-26,170,55
"1092",2005-12-27,211,102
"1093",2005-12-28,230,146
"1094",2005-12-29,224,176
"1095",2005-12-30,226,168
"1096",2005-12-31,235,131
"1097",2006-01-01,447,201
"1098",2006-01-02,248,102
"1099",2006-01-03,188,125
"1100",2006-01-04,180,172
"1101",2006-01-05,218,172
"1102",2006-01-06,253,201
"1103",2006-01-07,257,172
"1104",2006-01-08,224,145
"1105",2006-01-09,211,144
"1106",2006-01-10,252,122
"1107",2006-01-11,227,168
"1108",2006-01-12,240,166
"1109",2006-01-13,235,179
"1110",2006-01-14,257,144
"1111",2006-01-15,235,107
"1112",2006-01-16,199,109
"1113",2006-01-17,210,124
"1114",2006-01-18,227,129
"1115",2006-01-19,193,200
"1116",2006-01-20,224,195
"1117",2006-01-21,230,196
"1118",2006-01-22,216,154
"1119",2006-01-23,220,143
"1120",2006-01-24,209,210
"1121",2006-01-25,203,146
"1122",2006-01-26,253,169
"1123",2006-01-27,203,144
"1124",2006-01-28,257,140
"1125",2006-01-29,182,114
"1126",2006-01-30,210,143
"1127",2006-01-31,194,115
"1128",2006-02-01,286,162
"1129",2006-02-02,227,142
"1130",2006-02-03,230,171
"1131",2006-02-04,257,179
"1132",2006-02-05,195,194
"1133",2006-02-06,196,143
"1134",2006-02-07,212,145
"1135",2006-02-08,224,196
"1136",2006-02-09,271,172
"1137",2006-02-10,233,148
"1138",2006-02-11,260,152
"1139",2006-02-12,254,134
"1140",2006-02-13,221,155
"1141",2006-02-14,244,148
"1142",2006-02-15,239,160
"1143",2006-02-16,210,145
"1144",2006-02-17,228,133
"1145",2006-02-18,232,142
"1146",2006-02-19,238,122
"1147",2006-02-20,224,120
"1148",2006-02-21,250,150
"1149",2006-02-22,232,141
"1150",2006-02-23,216,191
"1151",2006-02-24,267,156
"1152",2006-02-25,270,160
"1153",2006-02-26,216,153
"1154",2006-02-27,209,114
"1155",2006-02-28,210,129
"1156",2006-03-01,254,170
"1157",2006-03-02,231,139
"1158",2006-03-03,208,124
"1159",2006-03-04,234,131
"1160",2006-03-05,224,140
"1161",2006-03-06,189,119
"1162",2006-03-07,225,134
"1163",2006-03-08,191,173
"1164",2006-03-09,216,228
"1165",2006-03-10,242,166
"1166",2006-03-11,243,158
"1167",2006-03-12,198,136
"1168",2006-03-13,212,88
"1169",2006-03-14,208,132
"1170",2006-03-15,193,172
"1171",2006-03-16,239,209
"1172",2006-03-17,228,135
"1173",2006-03-18,292,187
"1174",2006-03-19,238,109
"1175",2006-03-20,232,119
"1176",2006-03-21,204,191
"1177",2006-03-22,226,201
"1178",2006-03-23,224,181
"1179",2006-03-24,227,173
"1180",2006-03-25,266,146
"1181",2006-03-26,268,136
"1182",2006-03-27,210,138
"1183",2006-03-28,233,118
"1184",2006-03-29,227,129
"1185",2006-03-30,210,123
"1186",2006-03-31,219,148
"1187",2006-04-01,270,140
"1188",2006-04-02,236,171
"1189",2006-04-03,199,136
"1190",2006-04-04,225,144
"1191",2006-04-05,261,179
"1192",2006-04-06,232,202
"1193",2006-04-07,249,162
"1194",2006-04-08,229,163
"1195",2006-04-09,242,143
"1196",2006-04-10,235,114
"1197",2006-04-11,239,112
"1198",2006-04-12,218,140
"1199",2006-04-13,228,130
"1200",2006-04-14,231,130
"1201",2006-04-15,259,131
"1202",2006-04-16,241,137
"1203",2006-04-17,206,121
"1204",2006-04-18,204,174
"1205",2006-04-19,262,166
"1206",2006-04-20,220,176
"1207",2006-04-21,234,141
"1208",2006-04-22,279,158
"1209",2006-04-23,266,138
"1210",2006-04-24,200,121
"1211",2006-04-25,238,158
"1212",2006-04-26,251,214
"1213",2006-04-27,238,167
"1214",2006-04-28,251,126
"1215",2006-04-29,273,143
"1216",2006-04-30,239,125
"1217",2006-05-01,268,137
"1218",2006-05-02,210,119
"1219",2006-05-03,216,135
"1220",2006-05-04,194,132
"1221",2006-05-05,203,88
"1222",2006-05-06,232,141
"1223",2006-05-07,217,95
"1224",2006-05-08,228,117
"1225",2006-05-09,229,116
"1226",2006-05-10,214,149
"1227",2006-05-11,229,142
"1228",2006-05-12,240,139
"1229",2006-05-13,280,117
"1230",2006-05-14,243,135
"1231",2006-05-15,213,141
"1232",2006-05-16,231,180
"1233",2006-05-17,234,129
"1234",2006-05-18,244,99
"1235",2006-05-19,246,158
"1236",2006-05-20,256,157
"1237",2006-05-21,271,149
"1238",2006-05-22,229,136
"1239",2006-05-23,227,133
"1240",2006-05-24,213,146
"1241",2006-05-25,216,167
"1242",2006-05-26,264,170
"1243",2006-05-27,277,133
"1244",2006-05-28,242,138
"1245",2006-05-29,216,135
"1246",2006-05-30,214,148
"1247",2006-05-31,207,141
"1248",2006-06-01,289,140
"1249",2006-06-02,240,175
"1250",2006-06-03,256,107
"1251",2006-06-04,210,166
"1252",2006-06-05,226,173
"1253",2006-06-06,213,160
"1254",2006-06-07,238,154
"1255",2006-06-08,238,192
"1256",2006-06-09,211,152
"1257",2006-06-10,249,160
"1258",2006-06-11,246,132
"1259",2006-06-12,218,121
"1260",2006-06-13,232,141
"1261",2006-06-14,257,151
"1262",2006-06-15,260,163
"1263",2006-06-16,251,157
"1264",2006-06-17,255,160
"1265",2006-06-18,264,173
"1266",2006-06-19,228,135
"1267",2006-06-20,254,145
"1268",2006-06-21,204,154
"1269",2006-06-22,214,137
"1270",2006-06-23,232,141
"1271",2006-06-24,246,123
"1272",2006-06-25,240,120
"1273",2006-06-26,228,132
"1274",2006-06-27,256,146
"1275",2006-06-28,216,147
"1276",2006-06-29,263,139
"1277",2006-06-30,234,149
"1278",2006-07-01,307,156
"1279",2006-07-02,238,171
"1280",2006-07-03,224,142
"1281",2006-07-04,206,129
"1282",2006-07-05,208,129
"1283",2006-07-06,206,169
"1284",2006-07-07,210,151
"1285",2006-07-08,264,138
"1286",2006-07-09,219,108
"1287",2006-07-10,187,131
"1288",2006-07-11,215,135
"1289",2006-07-12,255,134
"1290",2006-07-13,231,143
"1291",2006-07-14,242,155
"1292",2006-07-15,272,149
"1293",2006-07-16,232,122
"1294",2006-07-17,243,155
"1295",2006-07-18,234,104
"1296",2006-07-19,233,143
"1297",2006-07-20,219,155
"1298",2006-07-21,263,107
"1299",2006-07-22,288,137
"1300",2006-07-23,261,103
"1301",2006-07-24,217,115
"1302",2006-07-25,236,115
"1303",2006-07-26,257,134
"1304",2006-07-27,252,165
"1305",2006-07-28,267,127
"1306",2006-07-29,293,151
"1307",2006-07-30,239,128
"1308",2006-07-31,238,139
"1309",2006-08-01,279,197
"1310",2006-08-02,264,128
"1311",2006-08-03,234,116
"1312",2006-08-04,244,216
"1313",2006-08-05,255,181
"1314",2006-08-06,248,136
"1315",2006-08-07,260,126
"1316",2006-08-08,230,143
"1317",2006-08-09,237,200
"1318",2006-08-10,266,168
"1319",2006-08-11,218,167
"1320",2006-08-12,268,174
"1321",2006-08-13,232,130
"1322",2006-08-14,211,176
"1323",2006-08-15,261,175
"1324",2006-08-16,248,188
"1325",2006-08-17,272,224
"1326",2006-08-18,261,177
"1327",2006-08-19,251,162
"1328",2006-08-20,234,158
"1329",2006-08-21,222,146
"1330",2006-08-22,193,182
"1331",2006-08-23,237,166
"1332",2006-08-24,247,164
"1333",2006-08-25,266,154
"1334",2006-08-26,263,149
"1335",2006-08-27,246,142
"1336",2006-08-28,194,107
"1337",2006-08-29,186,161
"1338",2006-08-30,212,204
"1339",2006-08-31,216,178
"1340",2006-09-01,277,146
"1341",2006-09-02,278,148
"1342",2006-09-03,241,106
"1343",2006-09-04,200,147
"1344",2006-09-05,209,149
"1345",2006-09-06,252,127
"1346",2006-09-07,218,137
"1347",2006-09-08,218,146
"1348",2006-09-09,270,138
"1349",2006-09-10,254,155
"1350",2006-09-11,230,121
"1351",2006-09-12,222,183
"1352",2006-09-13,263,152
"1353",2006-09-14,261,143
"1354",2006-09-15,266,135
"1355",2006-09-16,269,160
"1356",2006-09-17,276,95
"1357",2006-09-18,250,96
"1358",2006-09-19,241,110
"1359",2006-09-20,241,152
"1360",2006-09-21,274,156
"1361",2006-09-22,224,158
"1362",2006-09-23,261,181
"1363",2006-09-24,251,100
"1364",2006-09-25,226,104
"1365",2006-09-26,230,99
"1366",2006-09-27,221,116
"1367",2006-09-28,215,139
"1368",2006-09-29,242,154
"1369",2006-09-30,245,153
"1370",2006-10-01,268,145
"1371",2006-10-02,265,159
"1372",2006-10-03,235,173
"1373",2006-10-04,204,149
"1374",2006-10-05,200,135
"1375",2006-10-06,229,183
"1376",2006-10-07,279,175
"1377",2006-10-08,214,129
"1378",2006-10-09,234,105
"1379",2006-10-10,223,125
"1380",2006-10-11,238,146
"1381",2006-10-12,240,167
"1382",2006-10-13,217,145
"1383",2006-10-14,292,146
"1384",2006-10-15,196,127
"1385",2006-10-16,232,105
"1386",2006-10-17,248,178
"1387",2006-10-18,237,143
"1388",2006-10-19,202,157
"1389",2006-10-20,201,155
"1390",2006-10-21,258,171
"1391",2006-10-22,211,125
"1392",2006-10-23,197,127
"1393",2006-10-24,223,129
"1394",2006-10-25,241,121
"1395",2006-10-26,238,183
"1396",2006-10-27,226,136
"1397",2006-10-28,252,127
"1398",2006-10-29,272,116
"1399",2006-10-30,239,119
"1400",2006-10-31,234,170
"1401",2006-11-01,369,142
"1402",2006-11-02,235,93
"1403",2006-11-03,216,107
"1404",2006-11-04,227,140
"1405",2006-11-05,226,146
"1406",2006-11-06,232,146
"1407",2006-11-07,208,150
"1408",2006-11-08,245,155
"1409",2006-11-09,223,214
"1410",2006-11-10,224,129
"1411",2006-11-11,214,136
"1412",2006-11-12,205,154
"1413",2006-11-13,192,122
"1414",2006-11-14,216,158
"1415",2006-11-15,212,134
"1416",2006-11-16,222,137
"1417",2006-11-17,226,153
"1418",2006-11-18,282,139
"1419",2006-11-19,245,118
"1420",2006-11-20,226,134
"1421",2006-11-21,219,156
"1422",2006-11-22,226,113
"1423",2006-11-23,213,129
"1424",2006-11-24,174,105
"1425",2006-11-25,206,138
"1426",2006-11-26,196,128
"1427",2006-11-27,172,138
"1428",2006-11-28,188,157
"1429",2006-11-29,204,144
"1430",2006-11-30,232,159
"1431",2006-12-01,271,141
"1432",2006-12-02,269,136
"1433",2006-12-03,241,131
"1434",2006-12-04,194,134
"1435",2006-12-05,215,136
"1436",2006-12-06,249,174
"1437",2006-12-07,229,136
"1438",2006-12-08,202,148
"1439",2006-12-09,271,118
"1440",2006-12-10,225,91
"1441",2006-12-11,218,102
"1442",2006-12-12,227,99
"1443",2006-12-13,217,123
"1444",2006-12-14,229,145
"1445",2006-12-15,244,141
"1446",2006-12-16,249,129
"1447",2006-12-17,257,113
"1448",2006-12-18,216,85
"1449",2006-12-19,221,123
"1450",2006-12-20,202,156
"1451",2006-12-21,242,148
"1452",2006-12-22,214,108
"1453",2006-12-23,213,106
"1454",2006-12-24,202,128
"1455",2006-12-25,201,86
"1456",2006-12-26,145,103
"1457",2006-12-27,182,122
"1458",2006-12-28,189,107
"1459",2006-12-29,218,86
"1460",2006-12-30,202,108
"1461",2006-12-31,215,143
"1462",2007-01-01,389,180
"1463",2007-01-02,212,132
"1464",2007-01-03,220,154
"1465",2007-01-04,181,117
"1466",2007-01-05,218,171
"1467",2007-01-06,238,134
"1468",2007-01-07,251,141
"1469",2007-01-08,221,161
"1470",2007-01-09,204,168
"1471",2007-01-10,222,188
"1472",2007-01-11,237,173
"1473",2007-01-12,211,153
"1474",2007-01-13,249,170
"1475",2007-01-14,174,176
"1476",2007-01-15,195,122
"1477",2007-01-16,217,160
"1478",2007-01-17,213,175
"1479",2007-01-18,247,161
"1480",2007-01-19,239,155
"1481",2007-01-20,225,146
"1482",2007-01-21,212,122
"1483",2007-01-22,211,129
"1484",2007-01-23,219,141
"1485",2007-01-24,209,152
"1486",2007-01-25,185,143
"1487",2007-01-26,182,180
"1488",2007-01-27,189,161
"1489",2007-01-28,206,145
"1490",2007-01-29,189,161
"1491",2007-01-30,198,180
"1492",2007-01-31,196,165
"1493",2007-02-01,275,202
"1494",2007-02-02,232,178
"1495",2007-02-03,224,163
"1496",2007-02-04,194,184
"1497",2007-02-05,185,146
"1498",2007-02-06,214,213
"1499",2007-02-07,193,227
"1500",2007-02-08,223,161
"1501",2007-02-09,222,160
"1502",2007-02-10,251,107
"1503",2007-02-11,224,132
"1504",2007-02-12,202,168
"1505",2007-02-13,196,211
"1506",2007-02-14,224,198
"1507",2007-02-15,212,207
"1508",2007-02-16,212,182
"1509",2007-02-17,233,197
"1510",2007-02-18,184,181
"1511",2007-02-19,191,143
"1512",2007-02-20,194,188
"1513",2007-02-21,200,192
"1514",2007-02-22,202,192
"1515",2007-02-23,166,109
"1516",2007-02-24,195,196
"1517",2007-02-25,158,142
"1518",2007-02-26,175,129
"1519",2007-02-27,185,136
"1520",2007-02-28,175,158
"1521",2007-03-01,245,203
"1522",2007-03-02,249,186
"1523",2007-03-03,211,180
"1524",2007-03-04,227,167
"1525",2007-03-05,188,168
"1526",2007-03-06,213,202
"1527",2007-03-07,204,188
"1528",2007-03-08,191,197
"1529",2007-03-09,206,154
"1530",2007-03-10,234,167
"1531",2007-03-11,221,162
"1532",2007-03-12,192,161
"1533",2007-03-13,206,181
"1534",2007-03-14,200,184
"1535",2007-03-15,224,172
"1536",2007-03-16,224,201
"1537",2007-03-17,219,186
"1538",2007-03-18,237,139
"1539",2007-03-19,192,119
"1540",2007-03-20,225,179
"1541",2007-03-21,203,149
"1542",2007-03-22,206,147
"1543",2007-03-23,211,138
"1544",2007-03-24,233,129
"1545",2007-03-25,205,181
"1546",2007-03-26,216,147
"1547",2007-03-27,205,183
"1548",2007-03-28,228,158
"1549",2007-03-29,215,159
"1550",2007-03-30,219,195
"1551",2007-03-31,202,159
"1552",2007-04-01,290,168
"1553",2007-04-02,218,143
"1554",2007-04-03,203,150
"1555",2007-04-04,215,158
"1556",2007-04-05,214,126
"1557",2007-04-06,206,88
"1558",2007-04-07,220,104
"1559",2007-04-08,227,154
"1560",2007-04-09,198,115
"1561",2007-04-10,215,189
"1562",2007-04-11,209,190
"1563",2007-04-12,186,185
"1564",2007-04-13,221,155
"1565",2007-04-14,227,146
"1566",2007-04-15,235,134
"1567",2007-04-16,208,136
"1568",2007-04-17,202,164
"1569",2007-04-18,211,138
"1570",2007-04-19,211,221
"1571",2007-04-20,225,149
"1572",2007-04-21,240,181
"1573",2007-04-22,192,160
"1574",2007-04-23,196,161
"1575",2007-04-24,213,193
"1576",2007-04-25,204,141
"1577",2007-04-26,204,161
"1578",2007-04-27,210,161
"1579",2007-04-28,237,152
"1580",2007-04-29,226,147
"1581",2007-04-30,176,131
"1582",2007-05-01,231,127
"1583",2007-05-02,239,138
"1584",2007-05-03,204,146
"1585",2007-05-04,225,93
"1586",2007-05-05,237,181
"1587",2007-05-06,257,159
"1588",2007-05-07,207,164
"1589",2007-05-08,245,163
"1590",2007-05-09,198,167
"1591",2007-05-10,226,175
"1592",2007-05-11,213,153
"1593",2007-05-12,236,154
"1594",2007-05-13,219,131
"1595",2007-05-14,186,148
"1596",2007-05-15,212,157
"1597",2007-05-16,205,155
"1598",2007-05-17,205,152
"1599",2007-05-18,200,132
"1600",2007-05-19,236,159
"1601",2007-05-20,251,127
"1602",2007-05-21,202,126
"1603",2007-05-22,213,174
"1604",2007-05-23,223,157
"1605",2007-05-24,190,122
"1606",2007-05-25,213,148
"1607",2007-05-26,213,197
"1608",2007-05-27,215,144
"1609",2007-05-28,177,146
"1610",2007-05-29,176,169
"1611",2007-05-30,202,191
"1612",2007-05-31,191,173
"1613",2007-06-01,268,145
"1614",2007-06-02,249,131
"1615",2007-06-03,227,131
"1616",2007-06-04,183,152
"1617",2007-06-05,193,135
"1618",2007-06-06,205,168
"1619",2007-06-07,197,121
"1620",2007-06-08,217,129
"1621",2007-06-09,262,137
"1622",2007-06-10,175,130
"1623",2007-06-11,230,137
"1624",2007-06-12,206,200
"1625",2007-06-13,275,179
"1626",2007-06-14,190,154
"1627",2007-06-15,229,150
"1628",2007-06-16,300,143
"1629",2007-06-17,203,160
"1630",2007-06-18,182,119
"1631",2007-06-19,212,141
"1632",2007-06-20,247,129
"1633",2007-06-21,227,135
"1634",2007-06-22,216,139
"1635",2007-06-23,253,167
"1636",2007-06-24,249,161
"1637",2007-06-25,252,127
"1638",2007-06-26,203,131
"1639",2007-06-27,198,125
"1640",2007-06-28,209,144
"1641",2007-06-29,212,136
"1642",2007-06-30,221,167
"1643",2007-07-01,261,164
"1644",2007-07-02,216,143
"1645",2007-07-03,199,137
"1646",2007-07-04,233,143
"1647",2007-07-05,254,120
"1648",2007-07-06,214,115
"1649",2007-07-07,225,152
"1650",2007-07-08,242,138
"1651",2007-07-09,198,159
"1652",2007-07-10,235,143
"1653",2007-07-11,242,168
"1654",2007-07-12,231,187
"1655",2007-07-13,207,153
"1656",2007-07-14,267,154
"1657",2007-07-15,256,166
"1658",2007-07-16,196,157
"1659",2007-07-17,235,157
"1660",2007-07-18,252,155
"1661",2007-07-19,253,155
"1662",2007-07-20,253,150
"1663",2007-07-21,268,162
"1664",2007-07-22,242,97
"1665",2007-07-23,223,92
"1666",2007-07-24,250,111
"1667",2007-07-25,227,178
"1668",2007-07-26,254,173
"1669",2007-07-27,243,134
"1670",2007-07-28,270,164
"1671",2007-07-29,245,137
"1672",2007-07-30,240,123
"1673",2007-07-31,192,152
"1674",2007-08-01,290,103
"1675",2007-08-02,237,141
"1676",2007-08-03,239,139
"1677",2007-08-04,267,119
"1678",2007-08-05,199,126
"1679",2007-08-06,207,121
"1680",2007-08-07,224,117
"1681",2007-08-08,222,110
"1682",2007-08-09,192,150
"1683",2007-08-10,257,149
"1684",2007-08-11,274,108
"1685",2007-08-12,269,166
"1686",2007-08-13,255,135
"1687",2007-08-14,226,160
"1688",2007-08-15,230,164
"1689",2007-08-16,233,134
"1690",2007-08-17,188,159
"1691",2007-08-18,260,159
"1692",2007-08-19,231,111
"1693",2007-08-20,246,169
"1694",2007-08-21,240,162
"1695",2007-08-22,232,158
"1696",2007-08-23,246,159
"1697",2007-08-24,228,140
"1698",2007-08-25,281,127
"1699",2007-08-26,240,135
"1700",2007-08-27,248,128
"1701",2007-08-28,238,126
"1702",2007-08-29,251,165
"1703",2007-08-30,192,204
"1704",2007-08-31,219,166
"1705",2007-09-01,271,145
"1706",2007-09-02,241,140
"1707",2007-09-03,189,107
"1708",2007-09-04,201,131
"1709",2007-09-05,201,188
"1710",2007-09-06,212,188
"1711",2007-09-07,235,174
"1712",2007-09-08,265,190
"1713",2007-09-09,264,158
"1714",2007-09-10,267,143
"1715",2007-09-11,234,130
"1716",2007-09-12,219,167
"1717",2007-09-13,217,211
"1718",2007-09-14,215,198
"1719",2007-09-15,283,161
"1720",2007-09-16,261,201
"1721",2007-09-17,226,162
"1722",2007-09-18,226,192
"1723",2007-09-19,209,116
"1724",2007-09-20,235,128
"1725",2007-09-21,229,179
"1726",2007-09-22,234,149
"1727",2007-09-23,228,184
"1728",2007-09-24,218,164
"1729",2007-09-25,235,130
"1730",2007-09-26,234,178
"1731",2007-09-27,276,200
"1732",2007-09-28,244,161
"1733",2007-09-29,278,153
"1734",2007-09-30,259,146
"1735",2007-10-01,260,146
"1736",2007-10-02,241,161
"1737",2007-10-03,235,152
"1738",2007-10-04,208,200
"1739",2007-10-05,208,154
"1740",2007-10-06,195,177
"1741",2007-10-07,240,142
"1742",2007-10-08,201,177
"1743",2007-10-09,216,194
"1744",2007-10-10,182,160
"1745",2007-10-11,232,153
"1746",2007-10-12,239,157
"1747",2007-10-13,234,117
"1748",2007-10-14,237,161
"1749",2007-10-15,210,162
"1750",2007-10-16,230,190
"1751",2007-10-17,195,160
"1752",2007-10-18,229,195
"1753",2007-10-19,237,143
"1754",2007-10-20,240,174
"1755",2007-10-21,240,153
"1756",2007-10-22,200,171
"1757",2007-10-23,195,215
"1758",2007-10-24,244,160
"1759",2007-10-25,205,188
"1760",2007-10-26,200,180
"1761",2007-10-27,281,163
"1762",2007-10-28,243,136
"1763",2007-10-29,216,165
"1764",2007-10-30,217,148
"1765",2007-10-31,185,207
"1766",2007-11-01,292,201
"1767",2007-11-02,220,172
"1768",2007-11-03,231,211
"1769",2007-11-04,239,189
"1770",2007-11-05,178,171
"1771",2007-11-06,200,193
"1772",2007-11-07,206,185
"1773",2007-11-08,200,189
"1774",2007-11-09,223,207
"1775",2007-11-10,240,185
"1776",2007-11-11,243,116
"1777",2007-11-12,200,147
"1778",2007-11-13,214,136
"1779",2007-11-14,215,166
"1780",2007-11-15,225,143
"1781",2007-11-16,236,185
"1782",2007-11-17,203,195
"1783",2007-11-18,237,165
"1784",2007-11-19,212,184
"1785",2007-11-20,179,196
"1786",2007-11-21,232,127
"1787",2007-11-22,215,161
"1788",2007-11-23,158,133
"1789",2007-11-24,225,173
"1790",2007-11-25,222,212
"1791",2007-11-26,189,144
"1792",2007-11-27,202,206
"1793",2007-11-28,192,153
"1794",2007-11-29,213,170
"1795",2007-11-30,215,167
"1796",2007-12-01,247,170
"1797",2007-12-02,241,170
"1798",2007-12-03,189,186
"1799",2007-12-04,194,156
"1800",2007-12-05,183,146
"1801",2007-12-06,225,174
"1802",2007-12-07,200,156
"1803",2007-12-08,261,155
"1804",2007-12-09,208,144
"1805",2007-12-10,203,124
"1806",2007-12-11,243,154
"1807",2007-12-12,240,202
"1808",2007-12-13,201,195
"1809",2007-12-14,193,165
"1810",2007-12-15,282,137
"1811",2007-12-16,169,47
"1812",2007-12-17,73,48
"1813",2007-12-18,180,199
"1814",2007-12-19,224,178
"1815",2007-12-20,228,180
"1816",2007-12-21,230,207
"1817",2007-12-22,208,145
"1818",2007-12-23,216,110
"1819",2007-12-24,204,127
"1820",2007-12-25,186,96
"1821",2007-12-26,132,79
"1822",2007-12-27,205,122
"1823",2007-12-28,194,115
"1824",2007-12-29,237,155
"1825",2007-12-30,177,144
"1826",2007-12-31,205,123
"1827",2008-01-01,374,196
"1828",2008-01-02,217,175
"1829",2008-01-03,232,165
"1830",2008-01-04,195,148
"1831",2008-01-05,217,161
"1832",2008-01-06,182,163
"1833",2008-01-07,209,181
"1834",2008-01-08,212,187
"1835",2008-01-09,180,183
"1836",2008-01-10,168,207
"1837",2008-01-11,213,150
"1838",2008-01-12,223,186
"1839",2008-01-13,231,191
"1840",2008-01-14,204,196
"1841",2008-01-15,234,177
"1842",2008-01-16,235,188
"1843",2008-01-17,219,189
"1844",2008-01-18,230,152
"1845",2008-01-19,247,187
"1846",2008-01-20,224,160
"1847",2008-01-21,213,169
"1848",2008-01-22,194,197
"1849",2008-01-23,208,172
"1850",2008-01-24,231,142
"1851",2008-01-25,215,122
"1852",2008-01-26,224,114
"1853",2008-01-27,186,136
"1854",2008-01-28,200,124
"1855",2008-01-29,239,185
"1856",2008-01-30,209,181
"1857",2008-01-31,179,185
"1858",2008-02-01,254,136
"1859",2008-02-02,235,140
"1860",2008-02-03,177,124
"1861",2008-02-04,158,184
"1862",2008-02-05,181,216
"1863",2008-02-06,188,157
"1864",2008-02-07,194,161
"1865",2008-02-08,214,200
"1866",2008-02-09,192,197
"1867",2008-02-10,207,193
"1868",2008-02-11,204,165
"1869",2008-02-12,220,173
"1870",2008-02-13,194,151
"1871",2008-02-14,207,171
"1872",2008-02-15,228,168
"1873",2008-02-16,242,168
"1874",2008-02-17,211,176
"1875",2008-02-18,177,184
"1876",2008-02-19,175,191
"1877",2008-02-20,209,134
"1878",2008-02-21,199,189
"1879",2008-02-22,219,154
"1880",2008-02-23,244,168
"1881",2008-02-24,215,147
"1882",2008-02-25,207,175
"1883",2008-02-26,232,171
"1884",2008-02-27,241,186
"1885",2008-02-28,248,180
"1886",2008-02-29,202,185
"1887",2008-03-01,268,161
"1888",2008-03-02,269,197
"1889",2008-03-03,224,197
"1890",2008-03-04,203,169
"1891",2008-03-05,220,184
"1892",2008-03-06,229,220
"1893",2008-03-07,231,184
"1894",2008-03-08,240,192
"1895",2008-03-09,247,209
"1896",2008-03-10,211,182
"1897",2008-03-11,224,237
"1898",2008-03-12,192,178
"1899",2008-03-13,232,205
"1900",2008-03-14,237,167
"1901",2008-03-15,258,125
"1902",2008-03-16,264,147
"1903",2008-03-17,197,212
"1904",2008-03-18,227,183
"1905",2008-03-19,214,189
"1906",2008-03-20,248,174
"1907",2008-03-21,197,135
"1908",2008-03-22,212,146
"1909",2008-03-23,201,165
"1910",2008-03-24,190,151
"1911",2008-03-25,207,182
"1912",2008-03-26,215,195
"1913",2008-03-27,216,202
"1914",2008-03-28,227,182
"1915",2008-03-29,250,139
"1916",2008-03-30,226,142
"1917",2008-03-31,183,132
"1918",2008-04-01,276,159
"1919",2008-04-02,213,168
"1920",2008-04-03,181,124
"1921",2008-04-04,209,129
"1922",2008-04-05,269,150
"1923",2008-04-06,235,181
"1924",2008-04-07,211,157
"1925",2008-04-08,228,136
"1926",2008-04-09,221,136
"1927",2008-04-10,257,123
"1928",2008-04-11,236,137
"1929",2008-04-12,269,189
